"s","id"
"http://dbpedia.org/resource/Ellen_Riley_Wright",29321483
"http://dbpedia.org/resource/Erika_Radermacher",29321781
"http://dbpedia.org/resource/Margot_Leverett",29325572
"http://dbpedia.org/resource/Povla_Frijsh",29329528
"http://dbpedia.org/resource/Faramarz_Aslani",29330586
"http://dbpedia.org/resource/Avicii",29331348
"http://dbpedia.org/resource/Joanie_Madden",29332034
"http://dbpedia.org/resource/Lex_Luger_(musician)",29334818
"http://dbpedia.org/resource/Gábor_Takács-Nagy",29337575
"http://dbpedia.org/resource/Félix_Manuaku_Waku",29341851
"http://dbpedia.org/resource/Charlie_Spand",29344083
"http://dbpedia.org/resource/Daniel_Stabrawa",29347971
"http://dbpedia.org/resource/Teresa_Rampazzi",29355333
"http://dbpedia.org/resource/Sheila_Nelson",29355458
"http://dbpedia.org/resource/Julia_Niewiarowska-Brzozowska",29355583
"http://dbpedia.org/resource/Eduard_Reuss",29361834
"http://dbpedia.org/resource/Irma_Ravinale",29365645
"http://dbpedia.org/resource/Antonio_Ciacca",29370144
"http://dbpedia.org/resource/Overweight_Pooch",29375205
"http://dbpedia.org/resource/Booker_T._Laury",29375682
"http://dbpedia.org/resource/Juliane_Reichardt",29375943
"http://dbpedia.org/resource/De_De_Pierce",29377256
"http://dbpedia.org/resource/Kevin_Shea_(musician)",29380682
"http://dbpedia.org/resource/Terrence_Parker",29382930
"http://dbpedia.org/resource/Julie_Reisserová",29383944
"http://dbpedia.org/resource/Tamás_Deák_(composer)",29385627
"http://dbpedia.org/resource/Dan_Sane",29385675
"http://dbpedia.org/resource/Tristan_Fry",29388278
"http://dbpedia.org/resource/Shae_Jones",29391757
"http://dbpedia.org/resource/Pablo_Ruiz_(singer)",29394256
"http://dbpedia.org/resource/Michèle_Reverdy",29394656
"http://dbpedia.org/resource/Marisa_Rezende",29395648
"http://dbpedia.org/resource/Kathleen_Richards",29399244
"http://dbpedia.org/resource/Wang_Qiang_(composer)",29400787
"http://dbpedia.org/resource/Torstein_Grythe",29402108
"http://dbpedia.org/resource/Rosa_de_Castilla",29406090
"http://dbpedia.org/resource/José_María_Velasco_Maidana",29408770
"http://dbpedia.org/resource/Colette_Carr",29409764
"http://dbpedia.org/resource/Kathleen_Aerts",29413380
"http://dbpedia.org/resource/Teresa_del_Riego",29417412
"http://dbpedia.org/resource/Shoshana_Riseman",29417886
"http://dbpedia.org/resource/Gilda_Ruta",29418105
"http://dbpedia.org/resource/Roddy_Hart",29420767
"http://dbpedia.org/resource/Kana_Uemura",29430415
"http://dbpedia.org/resource/Mindru_Katz",29439553
"http://dbpedia.org/resource/Alma_Har'el",29439881
"http://dbpedia.org/resource/Indrani_Sen",29443427
"http://dbpedia.org/resource/Roger_Mason_(musician)",29444501
"http://dbpedia.org/resource/Unni_Løvlid",29445400
"http://dbpedia.org/resource/Jasen_Rauch",29449111
"http://dbpedia.org/resource/Fanny_Arthur_Robinson",29455594
"http://dbpedia.org/resource/Maria_Rodrigo",29455810
"http://dbpedia.org/resource/Marcela_Rodríguez",29456237
"http://dbpedia.org/resource/Ben_Dixon_(musician)",29456698
"http://dbpedia.org/resource/Betty_Roe",29459615
"http://dbpedia.org/resource/Greg_Saenz",29462985
"http://dbpedia.org/resource/Brian_Clifton_(composer)",29463868
"http://dbpedia.org/resource/Lottie_Kimbrough",29465712
"http://dbpedia.org/resource/Clotilde_Rosa",29466752
"http://dbpedia.org/resource/Dafina_Zeqiri_(composer)",29471320
"http://dbpedia.org/resource/Martha_von_Sabinin",29483333
"http://dbpedia.org/resource/Alice_Samter",29484996
"http://dbpedia.org/resource/Marie_Samuelsson",29485451
"http://dbpedia.org/resource/Rocío_Sanz_Quirós",29486686
"http://dbpedia.org/resource/Jane_Savage",29487117
"http://dbpedia.org/resource/Karel_Plicka",29497600
"http://dbpedia.org/resource/Pete_M._Wyer",29498078
"http://dbpedia.org/resource/Ethel_Scarborough",29500332
"http://dbpedia.org/resource/Delphine_von_Schauroth",29501205
"http://dbpedia.org/resource/Mon_Schjelderup",29505687
"http://dbpedia.org/resource/Hilda_Sehested",29506141
